gene,quan,ess,interact,rec,avg_cv,avg_intra_cv
YAL016C-A,1.2,OTHER,,,0.167291681314565,0.2893417548902
YAL016W,110.67,RICH,,0.84,0.137759749033298,0.256710402361366
YAL015C,71.63,OTHER,,1.12,0.162938374275441,0.212236809130255
YAL014C,71.7,OTHER,,1.32,0.16658661056005,0.263922470282003
YAL013W,48.92,OTHER,308,1.99,0.11348683440868,0.217408136429648
YAL012W,537.2,RICH,30,1.96,0.121539107242768,0.171154387839801
YAL011W,40.4,RICH,93,1.02,0.134154683174315,0.229598831985776
YAL010C,22.03,CHEM,101,0.81,0.14929196034219,0.261148729178622
YAL009W,31.37,RICH,,0.82,0.218783319366203,0.30823900735741
YAL008W,83.07,OTHER,,0.98,0.163113427602447,0.272152977225924
YAL007C,147.35,OTHER,,0.97,0.12468451164359,0.278793337169178
YAL005C,908.93,CHEM,,1.35,0.166412335114663,0.161616813766686
YAL004W,0.23,OTHER,,1.06,0.112418565179921,0.162702355798163
YAL003W,2270.35,ESS,,1.14,0.270955332252126,0.211338439057511
YAL002W,41.5,OTHER,122,0.88,0.177663259259415,0.243023116624525
YAL001C,42.95,ESS,,0.78,0.153715824025043,0.232276428717567
YAR002W,82.23,RICH,61,0.71,0.133830275420247,0.24745608618273
YAR002C-A,234.45,OTHER,,1.19,0.13841834035192,0.257063103630104
YAR003W,34.33,OTHER,70,0.85,0.117669743262065,0.238582470196398
YAR007C,44.28,ESS,,0.84,0.102896789930736,0.247509615033475
YAR008W,34.43,ESS,,0.71,0.118282808470825,0.219072428111029
YAR009C,12.18,OTHER,,0.95,0.0898578705639466,0.239028355954264
YAR010C,0,OTHER,,1.26,0.112255097221128,0.220148684178923
YAR014C,75.83,OTHER,,0.97,0.0775256289048793,0.258731247143735
YAR015W,297.9,RICH,,1.02,0.112386165775008,0.229623067388498
YAR018C,27.27,RICH,,0.79,0.118173309196731,0.253110797415637
YAR019C,19.58,ESS,,1,0.186654463130651,0.249051473450833
YAR019W-A,6.38,OTHER,,,0.103846794094719,0.202917059559374
YAR023C,7.77,OTHER,,1.06,0.089398368107348,0.218508034980585
YAR027W,0,OTHER,,1.02,0.105159542528181,0.270363356070136
YAR028W,0.05,OTHER,,1.12,0.123735669086155,0.204536852517375
YAR029W,0,OTHER,48,1.09,0.104837867793631,0.2982657419888
YAR030C,0.03,OTHER,,1.1,0.122399398639623,0.16685038065678
YAR031W,0,CHEM,,1.01,0.145096258334389,0.296475923190551
YAR033W,0,OTHER,,1.26,0.117927169392147,0.282716166765207
YAR035W,0.05,OTHER,,1.04,0.149492466904666,0.208988797507785
YAR042W,0.07,OTHER,,1.57,0.121535408847234,0.257041770895736
YAR047C,0,OTHER,,1.135,0.167196673559912,0.362517909114125
YAR050W,0.02,CHEM,,1.03,0.145758098119193,0.226206229380076
YAR053W,5.87,OTHER,,1.09,0.23999780354122,0.353547873001062
YAR060C,2.88,OTHER,,0.8,0.113734603517234,0.369638247259649
YAR064W,0.2,OTHER,,1.16,0.161450098635748,0.291484679660207
YAR066W,34.32,OTHER,,0.95,0.0949847785978314,0.256575959503796
YAR068W,21.47,OTHER,,1.1,0.138947100872734,0.172282501163197
YAR069C,0.55,OTHER,,0.74,0.191941718397922,0.26145246122026
YAR070C,0.52,OTHER,,0.83,0.221977883113255,0.276414878511846
YAR071W,0.73,OTHER,3,0.77,0.0967854020444971,0.195967543925715
YAR073W,0.02,OTHER,,0.97,0.142058122749311,0.24570683500903
YAR075W,0.03,OTHER,,0.97,0.15883746263419,0.26631816457027
YFL067W,0.18,OTHER,,1.24,0.0832475634728535,0.132861458919661
YFL066C,0.08,OTHER,,2.15,0.133929703294305,0.283386552211668
YFL065C,0,OTHER,,1.27,0.11605326081548,0.237616468718244
YFL064C,0,OTHER,,1.34,0.140915568821881,0.257942407884538
YFL063W,0.38,CHEM,,1.39,0.214276112555653,0.245836908890323
YFL062W,0.15,OTHER,,0.94,0.119343936146067,0.262346841451407
YFL061W,0.77,OTHER,,0.87,0.140816958640657,0.184383058499572
YFL060C,12.15,OTHER,,0.92,0.100043440761376,0.267895566214975
YFL059W,17.43,OTHER,,0.94,0.101000332069681,0.161332091606686
YFL058W,7.4,OTHER,,0.84,0.107648804312334,0.171303885522835
YFL057C,6.68,OTHER,7,0.76,0.169946936619762,0.220269975550852
YFL056C,8.18,OTHER,,0.85,0.123180001332377,0.188179489165638
YFL055W,10.12,OTHER,,0.78,0.103403960316639,0.220146310134432
YFL054C,16.37,OTHER,,0.84,0.138531892204968,0.239795096631323
YFL053W,0.55,OTHER,,1.37,0.15696198707737,0.226412173259503
YFL052W,17.32,CHEM,,0.83,0.102529295957735,0.197461909616176
YFL051C,1.08,OTHER,,0.81,0.129152413065911,0.255633012801072
YFL050C,16.88,OTHER,,0.87,0.138509023818968,0.229071990056375
YFL049W,35.17,OTHER,,0.86,0.121590465576599,0.284827242805988
YFL048C,84.3,OTHER,,0.92,0.148310423547403,0.231130891691756
YFL047W,63.22,OTHER,,0.81,0.161639771610315,0.26838584755181
YFL046W,54.13,OTHER,,0.97,0.118936933019067,0.206227949025585
YFL045C,529.52,ESS,,0.86,0.133765173543068,0.230003216658828
YFL044C,22.67,OTHER,,0.98,0.135556861528509,0.196031580341338
YFL042C,32.37,OTHER,,0.8,0.109326649979025,0.19248931222915
YFL041W,57.73,CHEM,24,0.93,0.177926614865271,0.175745473690074
YFL040W,2.28,OTHER,7,0.95,0.157524944718474,0.310518182844081
YFL039C,1297.93,ESS,,1.08,0.13369907129403,0.165380468677766
YFL038C,358.98,ESS,,1.07,0.0902399821557098,0.180814348899904
YFL037W,334.8,ESS,,1.04,0.11029164768583,0.209396665986639
YFL036W,71.58,RICH,,0.9,0.135702119463868,0.230309175728816
YFL034C-B,93.22,OTHER,,,0.148846026237935,0.265734544459733
YFL034C-A,589.63,CHEM,,,0.172858604204599,0.330718913883074
YFL034W,42,OTHER,,0.82,0.121771101031315,0.205965986226004
YFL033C,62.75,OTHER,76,0.85,0.116130337533855,0.208581785037207
YFL032W,0.35,OTHER,,1.61,0.139490594615592,0.234102044675148
YFL031W,161.27,OTHER,67,1.84,0.14011774207293,0.263327510512082
YFL030W,17.37,OTHER,,2.56,0.111084634280768,0.19768509653225
YFL029C,38.3,ESS,,0.96,0.134288342916126,0.275863843962694
YFL028C,107.05,OTHER,,1.06,0.120709338410158,0.190364788346573
YFL027C,20.7,CHEM,58,1.02,0.106327741010846,0.229272345362388
YFL026W,10.07,OTHER,,0.99,0.111032772205259,0.282942323896926
YFL025C,38,RICH,90,0.82,0.0717412731379655,0.278829337546308
YFL024C,51.33,ESS,,0.92,0.148881925997228,0.226714061804205
YFL023W,38.12,RICH,79,1.12,0.112179556710662,0.224100313230848
YFL022C,264.32,ESS,,1.46,0.0998337856004868,0.203038355553281
YFL021C-A,2.3,OTHER,,,0.175587042917764,0.339110137989769
YFL021W,46.22,OTHER,,2.13,0.179381008200379,0.246807948761463
YFL020C,2.28,OTHER,,1.28,0.236002391471908,0.363553482040519
YFL019C,1.43,CHEM,,1.095,0.106019633443939,0.292531376824863
YFL018C,358.52,RICH,,1.04,0.129631340090461,0.225438271556913
YFL017W-A,138.13,OTHER,,,0.175772725129919,0.258422257256706
YFL017C,85.57,ESS,,1.2,0.224422659452227,0.350766032015469
YFL016C,71.5,RICH,,1.63,0.142533588544271,0.270895804013929
YFL015W-A,0.22,OTHER,,,0.183532354220861,0.332289049397212
YFL015C,0.18,OTHER,,1.38,0.19453615810801,0.237154828042881
YFL014W,55.77,CHEM,,1.22,0.310674734643738,0.167867584827329
YFL013W-A,2.42,OTHER,,1.11,0.160514576754821,0.224312922129659
YFL013C,50.25,OTHER,,1.03,0.140029994553448,0.275345558774894
YFL012W-A,22.57,OTHER,,,0.127608886864398,0.11776945924361
YFL012W,5.97,OTHER,,1.22,0.188403067177415,0.219903815807066
YFL011W,3.77,CHEM,36,1.4,0.136041236863245,0.288393583010114
YFL010W-A,0.83,CHEM,,,0.22377333597431,0.273109297436181
YFL010C,117.5,CHEM,,2.18,0.19432130782489,0.191967821973272
YFL009W,59.25,ESS,,1.1,0.112881423195286,0.24738797521199
YFL008W,42.8,ESS,,0.87,0.111228826523574,0.264766935522474
YFL007W,83.83,OTHER,,0.87,0.142129870635916,0.220768846762188
YFL005W,167.15,ESS,,0.94,0.169784080019545,0.209630585922495
YFL004W,96.17,OTHER,,0.83,0.0959360645364714,0.282644187728066
YFL003C,8.85,CHEM,,1.07,0.146724812263534,0.223202930734452
YFL002W-A,183.33,OTHER,,,0.134024949529207,0.220271712945626
YFL002W-B,0,OTHER,,,0.130883734732277,0.193361145474938
YFL002C,67.58,ESS,,1.02,0.116844611968674,0.214784744718601
YFL001W,59.4,RICH,113,0.78,0.114762335994127,0.243862930828117
YFR001W,178.7,RICH,,0.85,0.136019198039921,0.228670237755931
YFR002W,71,ESS,,0.93,0.173994200834662,0.268908569918906
YFR003C,80.78,ESS,,0.79,0.138475470248958,0.274349205438921
YFR004W,232.25,ESS,,0.87,0.136508122386233,0.285882098461039
YFR005C,59.03,OTHER,,0.91,0.0676206361830746,0.199802376197191
YFR006W,118.82,OTHER,,1.02,0.141764652871322,0.254175266199704
YFR007W,29.37,OTHER,,0.91,0.115983550120339,0.277803896449883
YFR008W,17.18,OTHER,46,1.1,0.088010155963829,0.270838083295462
YFR009W,139.5,OTHER,,0.92,0.101822179495475,0.198960959302064
YFR009W-A,0,OTHER,,,0.0665813830960351,0.196463771740463
YFR010W,97.05,OTHER,85,0.92,0.124227579626228,0.253233195890825
YFR011C,99.25,OTHER,,0.9,0.126555936116445,0.234446849918039
YFR012W,6.92,OTHER,,0.94,0.200122269533878,0.255397225498073
YFR013W,52.4,OTHER,,0.87,0.108382356358015,0.254642195640286
YFR014C,58.62,OTHER,,1.03,0.109550235713729,0.253974818385194
YFR015C,71.23,CHEM,,1.09,0.10496877345603,0.184448068652566
YFR016C,76.32,OTHER,,0.91,0.115248012371231,0.225739373793821
YFR017C,60.68,CHEM,,1.56,0.140203079405769,0.252249403934601
YFR018C,43.85,CHEM,,1.49,0.161801838156885,0.218971441776843
YFR019W,53.28,RICH,,0.86,0.107996240353517,0.207218529231426
YFR020W,20.75,OTHER,,0.86,0.134492360679736,0.298094993973555
YFR021W,30.92,OTHER,,1.11,0.123193834469504,0.237377523449051
YFR022W,25.33,OTHER,10,1.33,0.0967586359924826,0.284268281213814
YFR023W,8.73,OTHER,,1.62,0.168098892828312,0.260074753464968
YFR024C-A,90.87,OTHER,,1.45,0.146139168509574,0.249117123351144
YFR025C,62.38,CHEM,,2.06,0.136432351075275,0.233513120187896
YFR026C,6.87,CHEM,,1.52,0.129217061944267,0.271368957902643
YFR027W,15.42,ESS,,1.49,0.127121577030529,0.224979486182238
YFR028C,55.87,ESS,,1.37,0.148468558096531,0.232487695562643
YFR029W,22.78,ESS,,1.24,0.0946148478675411,0.207197156447947
YFR030W,77.33,OTHER,,0.91,0.111869308053592,0.237564389590867
YFR031C,52.83,ESS,,1.07,0.152215626757102,0.268160697719908
YFR031C-A,1413.23,RICH,,1.12,0.18952577521786,0.189636728614008
YFR032C,22.03,OTHER,,1.52,0.170383410213178,0.254980683848246
YFR032C-B,579.47,OTHER,,,0.23071514372603,0.324276496488198
YFR033C,325.8,OTHER,36,1.75,0.222972493479917,0.254896196068219
YFR034C,27.08,OTHER,,1.95,0.119581219568726,0.249327526441495
YFR034W-A,92.5,OTHER,,,0.102815377256849,0.380867486572175
YFR035C,0.57,CHEM,,1.87,0.166574278888018,0.273132567110132
YFR036W,19.6,CHEM,,1.52,0.200479821620037,0.146536222821213
YFR036W-A,4.17,OTHER,,,0.186759768739249,0.256071087691504
YFR037C,256.63,ESS,,2.33,0.164034160267295,0.218130368695425
YFR038W,57.67,OTHER,10,1.41,0.166451309672545,0.204139741539269
YFR039C,46.13,OTHER,,0.9,0.161873067950258,0.229648899332157
YFR040W,91.05,RICH,,0.94,0.161232092855088,0.266218866826848
YFR041C,40.9,OTHER,,0.98,0.147067144699855,0.227433880455004
YFR042W,38.6,ESS,,1.11,0.101029063963203,0.290582700167664
YFR043C,29.57,OTHER,,1.035,0.113287813021821,0.264832883874398
YFR044C,381.3,OTHER,,1.09,0.115065424125263,0.223022913489689
YFR045W,24.68,CHEM,,1.03,0.160443760596558,0.318259953223607
YFR046C,20.08,OTHER,,1.42,0.156596775705216,0.267647667631941
YFR047C,74.38,OTHER,,1.09,0.103794233876986,0.202337077053595
YFR048W,43.77,OTHER,,1.46,0.143714629479002,0.209116740291653
YFR049W,109.97,OTHER,13,0.98,0.215610330564648,0.184183130158495
YFR050C,169.42,ESS,,1.16,0.133506070573528,0.225088872328691
YFR051C,163.18,ESS,,1.39,0.129107143265316,0.20282046173724
YFR052W,201.57,ESS,,1.15,0.186784573050181,0.244642745620315
YFR052C-A,34.03,OTHER,,,0.268838805702578,0.233371575738376
YFR053C,544.27,CHEM,20,1.23,0.128736437413412,0.193544969564339
YFR054C,1.25,OTHER,,0.88,0.145990712038047,0.274119685331507
YFR056C,0.1,OTHER,,0.99,0.189511880742078,0.163706687801692
YFR055W,59.2,OTHER,,0.88,0.127487068174338,0.204582086342073
YFR057W,0.23,CHEM,,1.06,0.128384619917489,0.23133333775678
YCL076W,5.57,CHEM,,0.86,0.0883175000296836,0.234061472133762
YCL073C,0.07,OTHER,,0.92,0.145679315629416,0.24399138543702
YCL069W,0,OTHER,7,0.74,0.158020919027158,0.246019767655524
YCL068C,0,OTHER,,0.87,0.187954902602614,0.253621546011145
YCL067C,99.73,OTHER,,0.98,0.126507517271328,0.213503341522796
YCL066W,75.58,OTHER,,1.13,0.167077480161114,0.297348529914318
YCL065W,6.75,OTHER,,1.11,0.151291369220658,0.282063050267421
YCL064C,29.17,OTHER,17,0.76,0.107492484073015,0.312004452612208
YCL063W,93.98,OTHER,,0.79,0.124528986611181,0.19091908917982
YCL061C,71.75,OTHER,68,0.865,0.117817761756286,0.262991705558786
YCL059C,305.83,ESS,,0.8,0.102555283077521,0.262413737696286
YCL058C,18.63,RICH,,1.14,0.179121498463647,0.293313840887464
YCL058W-A,103.53,OTHER,,,0.21991428341424,0.163777451164035
YCL057C-A,416,OTHER,,,0.201716801799968,0.153797847158768
YCL057W,251.65,OTHER,,0.83,0.131196136684564,0.217477418026047
YCL056C,136.02,OTHER,,0.81,0.132959109623965,0.298446728247044
YCL055W,320.38,OTHER,,0.85,0.141237729184645,0.257896083929157
YCL054W,230.35,ESS,,0.89,0.136271725846697,0.248112495909695
YCL052C,123.22,ESS,,0.79,0.116473889527192,0.225684935016281
YCL051W,56.03,OTHER,,0.79,0.152643762529218,0.270614595887142
YCL050C,454.72,OTHER,,1.01,0.180675055243382,0.273129310588796
YCL049C,102.32,OTHER,,0.94,0.178960115631028,0.249123222605994
YCL048W-A,11.3,OTHER,,,0.320772639580733,0.270429516215849
YCL048W,17.08,OTHER,13,1.07,0.110512934290074,0.256563096608228
YCL047C,109.08,CHEM,,0.8,0.186661312042977,0.258937662262584
YCL045C,290.22,OTHER,,0.945,0.135456070605535,0.191786201674895
YCL046W,0.83,OTHER,,1.03,0.136845626820442,0.253172766637191
YCL044C,66.72,OTHER,81,1.14,0.15622583810006,0.249917796222141
YCL043C,904.75,ESS,,1.13,0.127880791481657,0.207584101730365
YCL041C,9.05,ESS,,1.39,0.251327098724183,0.436499303361742
YCL042W,11.68,OTHER,,1.25,0.107031186692524,0.372585859731749
YCL040W,834.67,OTHER,,1.75,0.123061282861829,0.24916418732447
YCL039W,118.18,OTHER,,1.19,0.122495622790614,0.293627251758506
YCL038C,75.13,OTHER,,1.11,0.123193402197211,0.236675546690102
YCL037C,4.13,RICH,,1.17,0.158771833165431,0.219070390630563
YCL036W,56.37,OTHER,,1.47,0.140008167611961,0.148916554207199
YCL035C,656.62,OTHER,,1.49,0.154616923411748,0.340138384123227
YCL034W,116.3,OTHER,,1.92,0.127006440329418,0.191478710135418
YCL033C,96.7,OTHER,,1.85,0.199679796586768,0.168413667174002
YCL032W,58.65,OTHER,,1.43,0.105294338043483,0.228124138792426
YCL031C,333.85,ESS,,1.54,0.138870170166592,0.277436890619351
YCL030C,1672.43,OTHER,,3.61,0.144042017434167,0.170857372874218
YCL029C,49.68,RICH,34,1.53,0.108805461777435,0.214821786528753
YCL028W,210.02,CHEM,,1.38,0.110965135266378,0.259774466558455
YCL027W,196.68,OTHER,,1.12,0.124287197125204,0.240537850079753
YCL026C-B,47.27,OTHER,,,0.180904425086243,0.265404179746582
YCL026C-A,23.52,CHEM,,,0.179228652901959,0.218946287114559
YCL025C,215.33,OTHER,,1.2,0.118492932859976,0.253892803247483
YCL023C,0.37,CHEM,,1.28,0.168076168418011,0.260356067695713
YCL024W,51.03,OTHER,,0.97,0.161992372189659,0.262025205368741
YCL022C,1.18,OTHER,,0.83,0.168277777856014,0.196421665756295
YCL021W-A,27.7,OTHER,,,0.132000245030285,0.217587798324733
YCL019W,124.53,OTHER,,0.89,0.135862510628625,0.19388846585679
YCL020W,0,OTHER,,1.09,0.130530035081157,0.18926402648162
YCL018W,64.38,OTHER,,1.15,0.135635100454551,0.240125189438364
YCL017C,65.13,ESS,,0.77,0.148859756144763,0.208541946897654
YCL016C,21.12,RICH,67,0.85,0.0734356222904128,0.20470643405624
YCL014W,37.2,OTHER,,0.76,0.128674530451285,0.258067696518665
YCL012C,60.07,OTHER,,,0.108316429847544,0.30838663148226
YCL011C,145.08,OTHER,15,1.54,0.216789840708092,0.259067992237451
YCL010C,41.47,RICH,,1.53,0.117945230036766,0.194293934423012
YCL009C,551.77,OTHER,19,1.68,0.0976659279410187,0.198430892821926
YCL008C,47.1,OTHER,16,1.42,0.118998631616193,0.217713574339733
YCL007C,12.32,RICH,,1.08,0.193029752216879,0.258725574717602
YCL005W,52.58,OTHER,,0.88,0.148998116579413,0.260655535684848
YCL004W,26.37,ESS,,0.75,0.15862816930035,0.244166099594012
YCL002C,58.78,OTHER,,0.75,0.102900794281666,0.275959618487541
YCL001W,138.48,OTHER,,0.89,0.148998559600434,0.326985484205483
YCL001W-A,0.62,OTHER,,,0.13875517693844,0.334484062904771
YCL001W-B,0.67,OTHER,,,0.126950046115155,0.15448769821921
YCR001W,0.73,OTHER,,0.92,0.136965378979602,0.314757589335087
YCR002C,121.33,RICH,,0.9,0.107721790890539,0.236589842052741
YCR003W,52.6,RICH,,0.93,0.11258455648219,0.32204287952791
YCR004C,283.48,OTHER,,0.96,0.20313152705486,0.188643599206268
YCR005C,127.52,CHEM,,0.95,0.188013979368838,0.198705162798473
YCR006C,2.37,OTHER,,1.21,0.136337565136183,0.239603157834751
YCR007C,16.53,CHEM,,1.01,0.133030168186082,0.224189306876362
YCR008W,84.53,OTHER,,0.905,0.129989213929085,0.254597879156672
YCR009C,170.92,RICH,,0.95,0.1070491519559,0.185524582093012
YCR010C,3.4,OTHER,,0.92,0.167897810767025,0.188508575274587
YCR011C,79.03,OTHER,,1.01,0.169965016070127,0.220542427591988
YCR012W,4093.2,ESS,,1.17,0.166696826128053,0.195415907815553
YCR013C,1,ESS,,1.02,0.214808600434089,0.207067976255897
YCR014C,17.92,CHEM,,0.97,0.117987879677795,0.230852567737169
YCR015C,41.7,CHEM,,0.8,0.142586953731368,0.306701690132193
YCR016W,108.92,OTHER,41,0.79,0.130367985017342,0.303159048363602
YCR017C,161.32,OTHER,,0.96,0.0803729723928372,0.238293338553149
YCR018C,31.83,OTHER,,0.83,0.166976136420812,0.257491138813123
YCR018C-A,398.8,OTHER,,,0.0993601251686149,0.226880548878233
YCR019W,26.02,OTHER,,0.75,0.13602288243243,0.264051857849978
YCR020C,21.53,OTHER,,0.89,0.141867029568319,0.301903187885459
YCR020C-A,89.63,OTHER,,0.98,0.176950269106854,0.412581144905677
YCR020W-B,52.85,RICH,,,0.0386566723201729,0.210762675788521
YCR021C,19.3,CHEM,56,1.22,0.205023128511901,0.182536319580396
YCR022C,8.68,CHEM,,1.03,0.131980348007559,0.269369332811215
YCR023C,68.55,OTHER,,0.77,0.150477073856469,0.226923384372836
YCR024C,22.15,RICH,,0.96,0.125960765888021,0.21222904892931
YCR024C-B,673.3,OTHER,,,0.14253980085956,0.287313791244241
YCR025C,5.65,OTHER,,1.71,0.274695520684158,0.24271903610005
YCR026C,39.7,OTHER,,0.74,0.133683990979231,0.274995701033284
YCR027C,45.4,OTHER,37,0.94,0.116860330055057,0.268118440690304
YCR028C,33.52,RICH,,0.78,0.0697751076984658,0.217326954056735
YCR028C-A,290.23,RICH,39,,0.186719812328909,0.238393014092725
YCR030C,64.12,CHEM,,0.99,0.129600333725924,0.201821863780975
YCR031C,2564.67,RICH,,0.9,0.24538362476585,0.148347223005914
YCR032W,38.27,OTHER,,0.86,0.117439605229639,0.264918663474008
YCR033W,56.08,OTHER,167,0.9,0.155521944948828,0.252916747663725
YCR034W,220.25,OTHER,,0.85,0.161017922361727,0.303827082705683
YCR035C,80.4,ESS,,0.96,0.105764321499076,0.271266415940258
YCR036W,67.53,OTHER,,0.83,0.144461963576722,0.227154198199248
YCR037C,50.73,OTHER,,0.79,0.158230496222572,0.278616544709153
YCR038C,34.87,OTHER,,0.94,0.158402481132028,0.253604687424507
YCR039C,99.73,OTHER,,0.9,0.128905917548733,0.213503341522796
YCR040W,75.58,OTHER,,1.14,0.167077480161114,0.297348529914318
YCR041W,21.88,OTHER,,1.1,0.164706684151703,0.213765295289519
YCR042C,59.08,OTHER,,1.01,0.0906534628405525,0.242847885277468
YCR043C,133.1,OTHER,,1.24,0.275906394195031,0.16806073559047
YCR044C,46.48,RICH,,1.25,0.122766314475927,0.261751778195043
YCR045C,1.25,OTHER,,1.35,0.104097754707891,0.240312039346252
YCR045W-A,5.32,OTHER,,,0.0646633423715406,0.179364796306804
YCR046C,74,RICH,,2.44,0.156302561094243,0.276870228233142
YCR047C,48.78,RICH,,1.76,0.150233720401393,0.270293928624997
YCR047W-A,0.17,OTHER,,,0.188591322093855,0.195214984962419
YCR049C,0.25,OTHER,,2.04,0.13795944479276,0.196424620295344
YCR048W,38.13,OTHER,,1.95,0.134727158133632,0.215444702135457
YCR050C,0.32,OTHER,,1.96,0.198661427204978,0.253961925540106
YCR051W,104.7,RICH,,2.08,0.174786037505258,0.280915742836112
YCR052W,63.73,ESS,,1.51,0.128134719188227,0.212014685003652
YCR053W,490.62,OTHER,126,1.27,0.113315459048308,0.255572405173864
YCR054C,32.2,ESS,,1.04,0.108247104948978,0.227383903744411
YCR057C,106.98,ESS,,1.08,0.106667693457726,0.228928734505438
YCR059C,64.52,OTHER,17,1.1,0.179556107758043,0.232416482543017
YCR060W,81.08,CHEM,,1.79,0.247413331436008,0.211937226125635
YCR061W,89.87,OTHER,,1.96,0.146411984086198,0.224709837918558
YCR064C,5.05,OTHER,,1.32,0.13794949116583,0.204170558865056
YCR063W,10.73,RICH,,1.45,0.147493492834187,0.204429070385124
YCR065W,41.43,RICH,51,0.76,0.166482391289351,0.221060713142499
YCR066W,21.33,RICH,58,0.82,0.144978310004131,0.256735092159904
YCR067C,68.17,OTHER,,0.89,0.167508033645076,0.244888362242149
